Notification date,Transaction date,Company,"B/S
Transaction type",Insider and/or position,"Nb. shares
Price
Value",Number of shares,Price,Value,Details
2024-07-26,2024-07-24,"Avio SpA
(AVIO)","B
Purchase","Giovanni Gorno Tempini

Amministratore Indipendente e Vice Presidente del Consiglio di Amministrazione
Director","1,000

12.70


EUR 37,422","1,000",12.70,"EUR 100,000",
2024-07-26,2024-07-24,"Avio SpA
(AVIO)","B
Purchase","Giovanni Gorno Tempini

Amministratore Indipendente e Vice Presidente del Consiglio di Amministrazione
Director","1,000

12.62


EUR 12,405","1,000",12.62,"EUR 100,000",
2024-07-26,2024-07-24,"Avio SpA
(AVIO)","B
Purchase","Giovanni Gorno Tempini

Amministratore Indipendente e Vice Presidente del Consiglio di Amministrazione
Director","1,000

12.72


EUR 18,112","1,000",12.72,"EUR 100,000",
2024-07-25,2024-07-24,"Mondo TV SpA
(MTV)","B
Purchase","MATTEO CORRADI

Amministratore Delegato e Presidente del CdA
Director","22,500

0.18


EUR 4,452","22,500",0.18,"EUR 4,158",
2024-07-25,2024-07-24,"Mondo TV SpA
(MTV)","B
Purchase","GIULIANA BERTOZZI

Socio con partecipazione > 10%
Large shareholder","100,000

0.18


EUR 19,542","100,000",0.18,"EUR 18,250",
2024-07-25,2024-07-24,Abc Company S.P.A.,"B
Purchase","EXENTIAL CONSULTING SRL

CONSIGLIERE DI AMMINISTRAZIONE
Director","51,000

2.76


EUR 150,726","51,000",2.76,"EUR 140,760",
2024-07-26,2024-07-23,"Salcef Group SpA
(SCF)","B
Purchase","Salbid S.p.A.

Amministratore Unico
Director","1,000

0.00


EUR 0","1,000",0.00,"EUR 100,000",
2024-07-26,2024-07-23,"Salcef Group SpA
(SCF)","B
Purchase","Salbid S.p.A.

Amministratore Unico
Director","1,000

0.00


EUR 0","1,000",0.00,"EUR 100,000",
2024-07-24,2024-07-23,"Mondo TV SpA
(MTV)","B
Purchase","GIULIANA BERTOZZI

Socio con partecipazione > 10%
Large shareholder","30,000

0.19


EUR 6,071","30,000",0.19,"EUR 5,670",
2024-07-24,2024-07-22,"Simone SpA
(SMN)","B
Purchase","GIUNIMA SRL

Amministratrice Unica/Azionista di controllo dell’emittente","1,000

1.86


EUR 1,992","1,000",1.86,"EUR 1,860",
2024-07-25,2024-07-19,"Bifire SpA
(FIRE)","S
Sale","ALFREDO VARINI

SALES AND R&D DIRECTOR","80,500

3.12


EUR 268,942","80,500",3.12,"EUR 251,160",
2024-07-24,2024-07-19,"Pharmanutra SpA
(PHN)","B
Purchase","Beda S.r.l.

Carlo Volpi - Amministratore esecutivo di Pharmanutra S.p.A. e Amministratore Unico di Beda S.r.l.
Director","830

47.61


EUR 42,314",830,47.61,"EUR 39,517",
2024-07-22,2024-07-19,"Mondo TV SpA
(MTV)","B
Purchase","MATTEO CORRADI

Amministratore Delegato e Presidente del CdA
Director","5,000

0.19


EUR 1,033","5,000",0.19,EUR 965,
2024-07-22,2024-07-19,Mare Engineering Group S.P.A.,"B
Purchase","ANTONIO MARIA ZINNO

Chief Executive Officer
Officer","1,490

3.54


EUR 5,643","1,490",3.54,"EUR 5,270",
2024-07-22,2024-07-19,"Directa SIM SpA
(D)","B
Purchase","ANDREA BUSI

AMMINISTRATORE DELEGATO
Director","2,000

3.75


EUR 8,036","2,000",3.75,"EUR 7,505",
2024-07-22,2024-07-19,"BF SpA
(BFG)","B
Purchase","Federico Vecchioni

SOCIETA’ CONTROLLATA DA SOGGETTO RILEVANTE
Through ARUM SPA, a closely affiliated person","45,000

4.16


EUR 200,675","45,000",4.16,"EUR 187,407",
2024-07-24,2024-07-18,Gpi,"B
Purchase","FM SPA

FM S.p.A. è una persona strettamente associata in quanto Fausto Manzana è Presidente eAmministratore Delegato di FM S.p.A., nonché soggetto controllante la stessa. Fausto Manzana èaltresì Amministratore Delegato di Gpi S.p.A. FM SPA
Director","5,610

12.23


EUR 73,490","5,610",12.23,"EUR 68,630",
2024-07-23,2024-07-18,"Alerion Clean Power SpA
(ARN)","B
Purchase","AG INVEST

Il legale rappresentante di AG Invest Srl è persona associata al Presidente del Consiglio di
Director","6,600

15.35


EUR 108,466","6,600",15.35,"EUR 101,294",
2024-07-22,2024-07-18,"LVenture Group SpA
(LVEN)","B
Purchase","MARCO GABRIELE GAY

PRESIDENTE ESECUTIVO
Director","7,500

0.21


EUR 1,705","7,500",0.21,"EUR 1,592",
2024-07-22,2024-07-18,Mare Engineering Group S.P.A.,"B
Purchase","MARCO BELLUCCI

PRESIDENTE CONSIGLIO DI AMMINISTRAZIONE
Director","300

3.57


EUR 1,145",300,3.57,"EUR 1,070",
2024-07-22,2024-07-18,"Directa SIM SpA
(D)","B
Purchase","MI.MO.SE SPA

Presidente del Consiglio di Amministrazione
Director","27,000

3.75


EUR 108,450","27,000",3.75,"EUR 101,280",
2024-07-19,2024-07-17,"Simone SpA
(SMN)","B
Purchase","GIUNIMA SRL

Amministratrice Unica/Azionista di controllo dell’emittente","1,000

1.83


EUR 1,960","1,000",1.83,"EUR 1,830",
2024-07-18,2024-07-17,"Directa SIM SpA
(D)","B
Purchase","ANDREA BUSI

Amministratore Delegato
Director","1,500

3.73


EUR 5,991","1,500",3.73,"EUR 5,595",
2024-07-18,2024-07-17,"DigiTouch SpA
(DGT)","B
Purchase","DANIELE MEINI

MEMBRO DEL CONSIGLIO DI AMMINISTRAZIONE
Through DANIELE MEINI, a closely affiliated person
Director","4,000

2.05


EUR 8,781","4,000",2.05,"EUR 8,200",
2024-07-22,2024-07-16,Cofle S.P.A.,"B
Purchase","ALESSANDRA BARBIERI

VP of Board of Directors,","3,300

5.05


EUR 17,854","3,300",5.05,"EUR 16,674",
2024-07-19,2024-07-16,Mare Engineering Group S.P.A.,"B
Purchase","ANTONIO MARIA ZINNO

Chief Executive Officer
Officer","6,211

3.54


EUR 23,531","6,211",3.54,"EUR 21,975",
2024-07-19,2024-07-16,"Arnoldo Mondadori Editore SpA
(MN)","S
Sale","ANTIMO DANIELE SACCO

DIRIGENTE CON RESPONSABILITA' STRATEGICHE - PERSONA RILEVANTE/ RELEVANTPERSON
Officer","5,000

2.58


EUR 13,806","5,000",2.58,"EUR 12,894",
2024-07-17,2024-07-16,"Directa SIM SpA
(D)","B
Purchase","ANDREA BUSI

Amministratore Delegato
Director","1,500

3.64


EUR 5,847","1,500",3.64,"EUR 5,460",
2024-07-19,2024-07-15,Gpi,"B
Purchase","FM SPA

FM S.p.A. è una persona strettamente associata in quanto Fausto Manzana è Presidente eAmministratore Delegato di FM S.p.A., nonché soggetto controllante la stessa. Fausto Manzana èaltresì Amministratore Delegato di Gpi S.p.A. FM SPA
Director","400

12.30


EUR 5,268",400,12.30,"EUR 4,920",
2024-07-19,2024-07-15,"Brunello Cucinelli SpA
(BC)","S
Sale","LUCA LISANDRONI

Amministratore Delegato
Director","7,000

91.83


EUR 688,290","7,000",91.83,"EUR 642,781",
2024-07-19,2024-07-15,"Brunello Cucinelli SpA
(BC)","S
Sale","RICCARDO STEFANELLI

Amministratore Delegato
Director","4,500

92.08


EUR 443,700","4,500",92.08,"EUR 414,363",
2024-07-18,2024-07-15,"BF SpA
(BFG)","B
Purchase","Federico Vecchioni

SOCIETA’ CONTROLLATA DA SOGGETTO RILEVANTE
Through ARUM SPA, a closely affiliated person","7,500

4.20


EUR 33,730","7,500",4.20,"EUR 31,500",
2024-07-16,2024-07-15,Mare Engineering Group S.P.A.,"B
Purchase","Marco Bellucci BELLUCCI

PRESIDENTE CONSIGLIO DI AMMINISTRAZIONE
Director","5,000

3.58


EUR 19,183","5,000",3.58,"EUR 17,915",
2024-07-16,2024-07-15,"Fos SpA
(FOS)","B
Purchase","BP HOLDING SRL

Persona strettamente legata a BP Holding S.r.l., Presidente di BP Holding S.r.l. e Amministratore
Director","750

2.78


EUR 2,233",750,2.78,"EUR 2,085",
2024-07-16,2024-07-15,"DigiTouch SpA
(DGT)","B
Purchase","DANIELE MEINI

MEMBRO DEL CONSIGLIO DI AMMINISTRAZIONE
Through DANIELE MEINI, a closely affiliated person
Director","10,000

2.09


EUR 22,380","10,000",2.09,"EUR 20,900",
2024-07-19,2024-07-12,"Simone SpA
(SMN)","B
Purchase","GIUNIMA SRL

Amministratrice Unica/Azionista di controllo dell’emittente","1,000

1.90


EUR 2,035","1,000",1.90,"EUR 1,900",
